Country Name,Access to clean fuels and technologies for cooking (% of population),Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",CO2 emissions (metric tons per capita),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Food production index (2014-2016 = 100),Forest area (% of land area),GDP growth (annual %),"Government expenditure on education, total (% of government expenditure)",Heat Index 35,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Methane emissions (metric tons of CO2 equivalent per capita),"Mortality rate, under-5 (per 1,000 live births)",Net migration,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),Political Stability and Absence of Violence/Terrorism: Estimate,Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Renewable energy consumption (% of total final energy consumption),Rule of Law: Estimate,"School enrollment, primary (% gross)",Scientific and technical journal articles,Standardised Precipitation-Evapotranspiration Index,Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss (hectares),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Malaysia,0.8366935483870968,0.10442850116352072,0.09982908746223958,0.2980355689875625,0.15881113026256571,0.0006825781842230365,0.3805366297019388,0.2759740259740259,0.2980922845597218,0.5948974064491226,0.7685883997808576,0.5324217333449318,0.025949780640343506,0.6150543918007729,0.6557057916640814,0.002024189162010619,0.12628144749814005,0.04946996466431096,0.5111295139745755,0.051807261123741996,0.6909048846148083,0.19183305115399873,0.07701853351951,0.004123711340206192,0.1473858831621616,0.5869357040077416,0.059264659931257166,0.6153817210530459,0.3794345923047605,0.0326657229129827,0.8823901032417745,0.1583953238674245,0.0927681958241377,0.12040881507505588
Mali,0.005040322580645162,0.2704589450501042,0.1336109475649071,0.40706730210391723,0.7330147818233641,0.005399481662444735,0.011703838615288844,0.34090909090909083,0.6103749647589513,0.10922253226899241,0.6683557258279328,0.46336979254990895,0.38205918043498555,0.5837903443315653,0.9001239058208107,0.004899610177906015,0.12235447465672927,0.8401060070671378,0.45381619494169084,0.1530121714315612,0.0,0.030144050371643007,0.012166283708364105,0.21237113402061858,0.41558441558441617,0.5443307146591252,0.6625351525882721,0.18538900105461903,0.09075472053974809,0.00013662081333729706,0.3165645575179228,0.13475400446265165,4.345051938411228e-05,0.10773980623868838
Mauritania,0.48991935483870963,0.1271652291562669,0.03723136362668174,0.44263628966639545,0.3890772223349046,0.21230105251687176,0.03930881619113907,0.18749999999999994,0.42693355887604556,0.0,0.7222852141308702,0.0,0.427051246149538,0.0,0.8817105239669316,0.008203188783025138,0.1758447249352339,0.3401060070671378,0.4644814189082303,0.15694847750593907,0.5200537282446401,0.05910519640162581,0.0017923503667475963,0.12783505154639174,0.26697057362438215,0.33001723223809615,0.24257889803145508,0.27921916935093294,0.2522006231037899,2.0157169180912677e-05,0.29832015387944827,0.019215327606667006,0.0,0.3693530643386919
Mauritius,0.9909274193548386,3.657557699759383e-05,0.00011948896968049656,0.49505986283854475,0.0762509277398031,0.013855164518066766,0.14949230189596477,0.08928571428571426,0.12517620524386808,0.19720575957194883,0.7732760476044546,0.2335044239005982,0.0,0.4973253618628066,0.6286819802954653,0.013759518299267045,0.17895295806431516,0.12897526501766787,0.46528502818960116,0.02747266390724727,0.8742914445870619,0.36267196333444424,0.4865453813223389,0.088659793814433,0.2622950819672132,0.5430530362642931,0.09644828663680867,0.6809569762840304,0.438370227867554,0.0002857241403303297,0.42643792106731554,5.138944812031548e-05,0.0,0.16569076262464957
Mexico,0.8497983870967741,0.04811338294650551,0.0,0.5839823317447402,0.07551392627932023,0.013747855586423177,0.1713304159417196,0.17451298701298695,0.4318203176393195,0.344504752627432,0.671836467612162,0.3931038084174545,0.09614487071781948,0.5261620066528812,0.7384808913817845,0.028095242662153085,0.12856037419888544,0.0989399293286219,0.457793902693673,0.06692963213435027,0.4713996868257463,0.22797861731347108,0.0485258856557308,0.0,0.7988077496274218,0.5139781925725437,0.12686178523070513,0.2219317820546193,0.44386245398326685,0.029962273244911547,0.7116325147921102,0.3395074366304829,0.06319677503560435,0.09240924092409242
Moldova,0.9828629032258064,0.0001482449695689649,0.0,0.856096710449843,0.15531288676639127,0.03285489436377534,0.08881181895740992,0.3222402597402597,0.17470162578705006,0.11773607119343818,0.4903552879310932,0.39806220496890987,0.0,0.7100827114986963,0.4526730101439861,0.0077727798659207965,0.14159463816585935,0.10777385159010601,0.4543698627536589,0.07473850378317953,0.47763297495325907,0.41896427615229254,0.06772007958584,0.0,0.6305942069616799,0.9992700932151934,0.24487032600770753,0.3816714674139561,0.4804722360022088,0.0003944832664886764,0.7903974813108948,0.2047174722037573,0.0003780195186417769,0.047304730473047306
Mongolia,0.5544354838709677,0.2599290092081729,0.0,0.7963501104265953,0.20367267076178264,0.000791165485745124,0.633058968123953,0.44886363636363635,0.8156188328164645,0.09069610801764703,0.6949341845559573,0.1743281449793829,0.0,0.4963588959812999,0.35999763790664874,0.0019961634190588423,0.6529915428893656,0.11219081272084806,0.46566310420977364,1.0,0.794718857303501,0.09331836422245984,0.0,0.1134020618556701,0.21052631578947312,0.7368441365791918,0.039891677950213526,0.40900298452813244,0.354230250140687,0.00030207384422151445,0.6112749115336716,0.35469434861433086,6.250190096022306e-05,0.18414422087370025
Morocco,0.9808467741935483,0.00228718013567148,0.0,0.7705451586655817,0.22771463872883216,0.0229235675959122,0.08308920343651664,0.1826298701298701,0.3288224790903109,0.12976835167884032,0.6180930325355172,0.6633593047585642,0.020815831233081304,0.1273037849501033,0.7332015055075527,0.03183424055775186,0.031330045205884706,0.1413427561837456,0.43892332175376647,0.04193619782564113,0.5695249578476712,0.19682975438187456,0.062304006264771804,0.07835051546391751,0.3347356109339923,0.11083770117861885,0.11217581501926883,0.40628177079791733,0.5681711776556392,0.009623390916642043,0.26354910628690953,0.028244900230123438,0.0005140530677904976,0.3391532701657262
Mozambique,0.06653225806451613,0.012470369407446268,0.0,0.6083924212484018,0.5397266414474962,0.0008792786816848713,0.009569664156287704,0.8668831168831168,0.8513297622403907,0.4752282347917548,0.6812344950985363,0.4834478810620624,0.025483057966956036,0.832689022745662,0.7318997048518731,0.000960617872332852,0.054530597735431535,0.597173144876325,0.474952859140581,0.05856476541443606,0.31421534890866926,0.03387673993996294,0.029749529754041725,0.5773195876288659,0.6628912071535022,1.0,0.8411623789188627,0.17928746471589418,0.648745612153634,0.0002478137310337836,0.3120722421379348,0.3221821270584003,0.09293029968491688,0.12268000993647751
Namibia,0.47580645161290325,0.05332903483762479,0.05014505754706393,0.5427176566314077,0.15738945987567204,0.0028371833308416757,0.06394282082611753,0.19480519480519476,0.27675970303542896,0.07914021747269845,0.7464458202477289,0.6930020170264125,0.0,0.4128832149599926,0.8028591401143356,0.0003998906705146219,0.2490582601857269,0.32685512367491165,0.4622612109822383,0.3556361650474932,0.8006018231159351,0.08516784076932879,0.0007112002179599402,0.3010309278350516,0.6956322366158426,0.8625353267255438,0.32444537027392983,0.5720430078577583,0.7845180244372868,0.0002856942778574691,0.6392143288288578,0.4165077995621434,1.3369390579726856e-06,0.6888108165655276
